/*
Name: Hipolito Sedano
Date: May 25, 2026
Program Description: This program loads quiz from a CSV file,
stores them in arrays,and runs an interactive AI quiz game.
*/
What does AI stand for?,Artificial Intelligence,Automatic Internet,Advanced Input,Apple Interface
Which type of AI learns from data?,Machine Learning,Typing,Printing,Copying
What is a chatbot?,A program that responds to user messages,A computer mouse,A spreadsheet formula,A video game controller
What is machine learning?,A way computers learn patterns from data,A way to fix a printer,A type of monitor,A programming error
What is training data?,Examples used to teach an AI system,A finished video game,A keyboard shortcut,A computer virus
What does bias in AI mean?,When AI results are unfair or favor one group,When a program runs quickly,When a computer has more memory,When a file is too large
What is an algorithm?,A step-by-step process to solve a problem,A type of screen,A hardware cable,A password
What is generative AI?,AI that can create new content,AI that only deletes files,AI that turns off computers,AI that formats hard drives
Which is an example of AI?,Voice assistant,Wooden pencil,Notebook paper,Desk chair
Why is it important to test AI systems?,To make sure they work correctly and fairly,To make the computer heavier,To delete the data,To avoid using code
